,Posição,Endereço,Área,Quartos,Banheiros,Vagas,Condomínio,IPTU,Descrição,Status,Página,Preço
0,1,"Rodovia BR-364, Portal da Amazonia",420 ,1,1,,,,"ECOVILLE- Lindo lote a venda, plano, sol da manhã, na quadra 12, uma das melhores quadras do empreendimento sinal de R$54.000,00, mais saldo a financiar de R$335.000,00 parcelado e...",Super destaque,1,389000
1,2,"Rodovia BR-364, Portal da Amazonia",429 ,,,,,,"O lote/terreno está localizado no bairro Portal da Amazônia tem 429 metros quadrados Possui área de fitness, espaço gourmet, espaço jardinado, área de brinquedo para as crianças, s...",Super destaque,1,360000
2,3,"Rua Severina Maria de Sousa e Silva, Jardim Manoel Juliao",99 ,3,2,2,690,,"O apartamento está localizado no bairro Jardim Manoel Julião tem 99 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui parquinho infantil, salão para festas e evento...",Super destaque,1,570000
3,4,"Estrada do Calafate, Calafate",50 ,2,1,1,,,"Vendo esse imóvel em condomínio fechado. Apartamento com 2 dormitórios, 1 banheiro social, salas de estar e jantar, cozinha, área de serviço e vaga de garagem para 1 carro. SOMENTE...",Comum,1,89000
4,5,"Rua C, LBA Vila Betel ll",336 ,2,2,1,,,"?Casa na Vila Betel !  Vende-se uma casa no conj. Vila Betel. A casa possui 1 suíte e 1 quarto, banheiro social, cozinha, área de serviço, sala de estar. Tamanho do terreno 12x28 t...",Comum,1,185000
5,6,"Rodovia BR-364, Belo Jardim II",5000 ,3,2,2,,,"Chácara a venda no Polo Belo Jardim com 5000 m2.  Imóvel para quem deseja passar seus finais de semana em lazer e harmonia com à natureza. Possui uma excelente casa, lago para se r...",Comum,1,200000
6,7,"Rua 25 de Dezembro, Tancredo Neves",300 ,2,2,2,,,"Ótima casa a venda com 02 quartos sendo demi-suite, sala, cozinha, aérea na frente, Área com piscina atrás... Localizado na principal do Tancredo Neves.  Aceito carro ou gado como...",Comum,1,120000
7,8,"Rua Comércio, Conjunto Manoel Juliao",50 ,2,1,1,,,"Apartamento fica no 4° andar, pronto para financiar",Destaque,1,125000
8,9,"Rua Belo Horizonte, Ivete Vargas",170 ,4,2,1,,,"Vende-se uma casa no Ivete Vargas. A casa possui 1 suite + 3 quartos, sala de estar e sala de jantar, cozinha, área de serviço, banheiro social e 1 vaga de garagem. Valor: 270 mil...",Comum,1,245000
9,10,"Rua Porto Velho, Loteamento Joafra",250 ,2,2,2,,,"VEND0 casa localizada no loteamento Joafra, próximo às universidades, posto de combustível, posto de saúde, supermercados, parque do Tucumã, e acesso ao aeroporto ou rodovia BR 364...",Destaque,1,270000
